EMOTION,SAY
Surprise,한번의 실패와 영원한 실패를 혼동하지 마라. - F.스콧 핏제랄드
Surprise,당신의 행복은 무엇이 당신의 영혼을 노래하게 하는가에 따라 결정된다. - 낸시 설리번
Surprise,생각하기 시작하면 용기가 생긴다. - 에우리피데스
Surprise,우리가 가장 행복해할 때가 제일 놀라운 것이다. - 마르셀 프루스트
Surprise,모든 여행은 놀라움의 출발점이다. - 솔론
Surprise,우리가 가진 가장 큰 놀라움은 자연의 영원성이다. - 레온하르트 오일러
Surprise,모든 작품의 탄생은 놀라움에서 비롯된다. - 헤로도토스
Surprise,무엇이 가능한지를 꿈꾸는 사람만이 가능한 일을 이룰 수 있다. - 피터 드러커
Surprise,우리의 이해는 우리의 놀라움에 의해 한계가 정해진다. - 조지 베르나드 쇼
Surprise,가장 큰 혁신은 가장 간단한 것에서 비롯된다. - 알버트 아인슈타인
Surprise,모든 걸 아는 것은 스스로를 아는 것에 비하면 아무것도 아니다. - 소크라테스
Surprise,놀라움은 모든 진실의 문이다. - 랠프 왈도 에머슨
